,0
257,12.508675
258,13.2831
259,17.946152
260,13.674801
261,20.39434
262,13.167501
263,12.926294
264,13.765454
265,12.831638
266,13.7855625
267,10.978872
268,12.997334
269,14.623381
270,13.382835
271,12.524834
272,17.769321
273,12.227554
274,17.404846
275,5.2426825
276,14.632435
277,10.845095
278,14.58022
279,11.35376
280,18.56993
281,13.840992
282,13.357949
283,11.617132
284,7.647701
285,15.253365
286,7.575613
287,15.128519
288,11.13668
289,14.581664
290,17.718298
291,11.56991
292,13.58569
293,15.551489
294,14.184235
295,14.744641
296,14.866422
297,12.725672
298,12.296306
299,12.252104
300,15.04637
301,13.810219
302,19.838816
303,14.785389
304,16.381285
305,16.635592
306,15.813166
307,15.189983
308,14.51192
309,18.247545
310,15.144938
311,17.24971
312,13.881253
313,11.901758
314,12.173997
315,11.907218
316,12.010908
317,19.584957
318,13.654747
319,15.824833
320,16.385883
321,10.279878
322,12.506866
323,12.096687
324,11.401183
325,16.49181
326,5.6171637
327,19.406816
328,10.062678
329,12.832038
330,15.213591
331,14.124838
332,13.075103
333,14.482998
334,13.049803
335,12.290972
336,11.474907
337,15.216653
338,11.95992
339,6.823906
340,17.006956
341,15.462973
342,13.327399
343,12.313481
344,7.4794903
345,14.707155
346,13.930275
347,16.006296
348,19.062666
349,6.4008546
350,12.8848915
351,11.778683
352,14.5532255
353,7.151018
354,13.528488
355,15.185812
356,12.3333
357,14.858795
358,11.2280655
359,5.5765266
360,11.5619
361,12.2575
362,13.708827
363,13.874477
364,13.161413
365,13.388816
366,10.889021
367,16.096846
368,5.974768
369,12.782571
370,19.10713
371,11.197145
372,13.217314
373,15.470851
374,13.530392
375,17.250143
376,11.487449
377,13.335749
378,14.384045
379,5.7781196
380,20.604101
381,8.709459
382,15.91922
383,14.64651
384,14.194401
385,19.614983
386,13.723181
387,13.183456
388,14.169107
389,18.879688
390,16.129673
391,14.452587
392,12.532381
393,13.171599
394,11.977223
395,14.427906
396,14.3305435
397,6.770647
398,12.641346
399,6.516103
400,12.882255
401,12.612652
402,6.3488007
403,8.106954
404,12.688335
405,15.078553
406,11.312768
407,7.370669
408,5.6242447
409,10.216825
410,7.21579
411,11.4771
412,6.602336
413,12.354309
414,10.327742
415,13.920175
416,5.707945
417,12.95534
418,9.083435
419,7.1670294
420,11.130749
421,8.464452
422,14.536306
423,10.143661
424,13.494522
425,8.6384325
426,11.572807
427,9.313576
428,6.666739
429,11.622837
430,13.48978
431,17.075771
432,7.8285713
433,5.3281913
434,10.590485
435,14.47769
436,10.821638
437,5.6014175
438,12.913559
439,7.4737854
440,14.671319
441,12.745528
442,12.361261
443,15.209321
444,8.429903
445,15.421494
446,12.985016
447,14.968573
448,12.818596
449,12.636435
450,10.539677
451,10.445328
452,13.729628
453,12.474149
454,9.228148
455,15.062271
456,13.285885
457,12.485142
458,16.010944
459,8.097712
460,16.779047
461,8.8866415
462,7.6687255
463,7.988891
464,8.927113
465,5.639641
466,13.450663
467,16.294352
468,6.490411
469,12.719707
470,7.6684914
471,12.435595
472,11.05411
473,7.3176613
474,11.157737
475,14.2030945
476,8.231764
477,6.4485693
478,8.714524
479,9.559107
480,16.449564
481,15.469139
482,9.759305
483,12.615353
484,12.32953
485,17.194836
486,13.750068
487,10.667656
488,12.420171
489,14.524234
490,9.359951
491,8.6955805
492,12.188392
493,8.403522
494,16.881866
495,5.6745524
496,14.479866
497,15.287707
498,7.275809
499,13.666065
500,7.6919656
501,7.5533895
502,16.76121
503,16.729017
504,12.334085
505,9.867129
506,14.735847
507,7.24781
508,11.993265
509,5.6061983
510,10.2276745
511,18.757982
512,9.864193
513,10.470598
514,7.4251957
515,7.134286
516,18.832449
517,5.9276037
518,14.17717
519,18.450197
520,9.708357
521,11.238231
522,5.307271
523,6.879121
524,9.823141
525,18.953653
526,10.302194
527,16.313824
528,7.989018
529,13.893948
530,12.6355915
531,8.818468
532,5.226527
533,16.818087
534,9.012918
535,15.361287
536,10.158716
537,11.038232
538,9.743544
539,15.591378
540,9.695637
541,16.979519
542,16.741226
543,10.989485
544,13.946732
545,9.760508
546,10.718153
547,11.553116
548,8.5601635
549,11.471057
550,9.137271
551,13.427443
552,8.77862
553,9.527081
554,4.858996
555,13.530031
556,10.76799
557,10.282264
558,13.89251
559,13.042435
560,19.69568
561,12.521423
562,8.081897
563,13.017353
564,6.6446934
565,8.3059845
566,8.750515
567,15.099106
568,8.0275345
569,11.789856
570,7.0636044
571,11.598276
572,17.853615
573,12.639372
574,16.486689
575,11.675269
576,16.361774
577,5.730445
578,7.389998
579,8.614727
580,8.627024
581,5.280352
582,7.9919343
583,8.612404
584,8.087838
585,8.309582
586,11.427513
587,6.2911253
588,10.287545
589,8.394481
590,6.917971
591,16.387384
592,6.893162
593,8.987126
594,7.689949
595,8.400139
596,6.923332
597,8.5297165
598,7.7120075
599,10.111918
600,11.833154
601,14.983519
602,8.826466
603,6.557713
604,8.882095
605,16.389822
606,8.016047
607,9.958185
608,11.552874
609,14.353965
610,14.063913
611,8.9161825
612,14.338364
613,6.016343
614,12.881881
615,10.52377
616,8.056909
617,13.286491
618,7.5242076
619,17.377567
620,10.057983
621,8.14939
622,12.820652
623,8.38192
624,8.936692
625,6.0721054
626,15.61097
627,18.539236
628,5.542443
629,10.370079
630,5.8117924
631,16.341595
632,9.573174
633,16.701511
634,10.929243
635,10.414417
636,12.171519
637,18.167597
638,7.3657613
639,19.036058
640,7.5759745
641,20.532074
642,9.987223
643,8.915874
644,8.083584
645,9.337663
646,7.4338436
647,14.146192
648,10.373535
649,6.6233387
650,13.966299
651,8.178851
652,8.240221
653,20.749775
654,17.164434
655,9.156601
656,16.65417
657,20.756712
658,15.6113615
659,17.307508
660,14.824258
661,8.601279
662,21.316805
663,9.08606
664,21.089434
665,17.441252
666,11.594877
667,14.996413
668,18.865458
669,10.237925
670,12.165659
671,11.387995
672,10.257849
673,13.078411
674,9.747242
675,20.16619
676,16.084225
677,15.35871
678,8.193047
679,15.370113
680,6.495041
681,9.169234
682,21.284243
683,21.250616
684,6.8402567
685,17.699507
686,14.183409
687,14.807545
688,6.632143
689,5.994645
690,15.187548
691,8.52595
692,20.880838
693,12.316407
694,8.921783
695,20.92185
696,7.4729977
697,19.163403
698,16.511791
699,21.00809
700,13.316227
701,15.931461
702,11.665037
703,6.0012918
704,11.082822
705,15.151803
706,11.215649
707,10.082214
708,9.206461
709,20.78327
710,17.494219
711,11.808723
712,6.4383698
713,11.59351
714,15.938521
715,8.188006
716,13.085752
717,18.485033
718,8.34982
719,12.007137
720,9.457033
721,16.67288
722,11.07943
723,12.992224
724,16.493391
725,18.204496
726,9.793112
727,15.1795635
728,12.094953
729,5.9494925
730,20.642134
731,7.761445
732,7.8720074
733,21.07905
734,9.698684
735,14.717619
736,16.122787
737,16.196917
738,8.162405
739,7.6739445
740,8.137702
741,12.12682
742,14.347513
743,7.0662913
744,9.487809
745,15.403124
746,12.923349
747,16.540018
748,7.5706005
749,9.768272
750,11.202972
751,12.140891
752,11.86142
753,5.8334017
754,13.859568
755,14.207213
756,12.395782
757,7.2242656
758,10.43178
759,12.054073
760,19.000896
761,11.241257
762,8.031229
763,13.9568
764,11.522279
765,6.847786
766,14.582499
767,13.079432
768,15.080231
769,7.473754
770,20.463873
771,13.296637
772,15.145221
773,19.109224
774,10.251753
775,10.914286
776,8.9761715
777,19.722971
778,10.242147
779,13.452881
780,18.707659
781,11.198099
782,20.762201
783,13.149727
784,14.38867
785,15.740374
786,14.577382
787,11.7675905
788,10.381536
789,8.412844
790,11.8983135
791,9.126461
792,13.666399
793,8.131449
794,11.656506
795,7.7239428
796,13.392462
797,12.634568
798,15.779779
799,12.737709
800,13.460239
801,13.714563
802,12.749317
803,12.007962
804,13.404301
805,7.720049
806,20.424791
807,16.00348
808,14.591345
809,19.238173
810,19.695534
811,15.321567
812,20.603697
813,14.07148
814,11.64717
815,18.266495
816,17.614016
817,17.55546
818,17.948057
819,10.097241
820,16.956886
821,7.417867
822,15.544034
823,20.997244
824,17.872728
825,8.663975
826,9.088448
827,10.935692
828,10.695808
829,18.807852
830,7.8103437
831,13.572257
832,20.911518
833,12.306173
834,20.414583
835,21.3164
836,12.250891
837,20.324512
838,21.027433
839,13.3941
840,21.23012
841,17.704252
842,15.033508
843,12.646723
844,20.986366
845,14.992989
846,11.697065
847,18.934134
848,8.494452
849,11.314987
850,19.159151
851,13.458014
852,20.896616
853,14.092175
854,9.337301
855,8.591132
856,17.286245
857,11.556766
858,11.636561
859,20.415007
860,20.795807
861,21.034231
862,19.133558
863,20.933035
864,20.415712
865,20.75238
866,17.402225
867,21.206278
868,21.28664
869,20.917206
870,8.494952
871,20.791107
872,21.317705
873,21.320078
874,8.468523
875,21.188574
876,15.651815
877,20.970896
878,11.706886
879,17.520964
880,20.249495
881,21.14332
882,13.190735
883,15.454113
884,21.324625
885,16.199247
886,18.256483
887,21.03281
888,11.753022
889,14.136526
890,11.991616
891,20.228823
892,16.857958
893,14.439117
894,21.325418
895,12.0122
896,17.581932
897,21.306444
898,19.509596
899,21.325197
900,20.70004
901,8.176188
902,21.03419
903,19.325062
904,20.890436
905,9.027004
906,21.325151
907,19.944078
908,11.801092
909,11.016329
910,21.321836
911,21.319784
912,21.313631
913,8.500965
914,20.037573
915,21.325502
916,15.453873
917,14.918137
918,20.58146
919,18.106165
920,17.239801
921,17.611506
922,17.939833
923,21.32952
924,19.176008
925,8.601608
926,21.233625
927,20.745455
928,21.323196
929,15.208637
930,17.212772
931,21.345613
932,14.416132
933,21.17961
934,20.918184
935,16.348955
936,12.151553
937,20.865885
938,19.400824
939,21.285177
940,20.142912
941,21.32129
942,19.795233
943,21.325212
944,17.598188
945,21.289011
946,20.865086
947,21.325266
948,21.018637
949,12.032183
950,21.299458
951,21.32681
952,18.924635
953,16.286861
954,20.867773
955,21.14807
956,21.206758
957,15.068491
958,16.084171
959,20.143232
960,8.458974
961,21.295347
962,21.100668
963,21.268362
964,21.29347
965,20.454977
966,12.035008
967,21.322155
968,21.316011
969,20.974768
970,21.16705
971,20.93934
972,20.752764
973,17.141642
974,20.43039
975,20.947529
976,8.60059
977,21.32496
978,17.267714
979,21.325216
980,16.42894
981,19.303865
982,21.106415
983,20.835947
984,21.325262
985,16.029547
986,21.324266
987,20.468645
988,18.13312
989,21.325178
990,21.27689
991,19.367159
992,21.307383
993,20.63331
994,14.271532
995,21.324802
996,21.32527
997,21.320114
998,16.853254
999,21.17946
1000,8.183914
1001,16.486498
1002,21.320034
1003,21.305788
1004,9.656458
1005,21.197748
1006,20.936563
1007,18.203527
1008,18.68079
1009,18.409777
1010,20.620691
1011,20.77668
1012,19.785936
1013,21.32512
1014,21.26345
1015,21.231863
1016,20.843695
1017,21.225897
1018,19.260462
1019,21.089062
1020,20.328047
1021,21.303608
1022,21.325388
1023,21.193144
1024,21.267756
1025,21.321669
1026,19.891924
1027,18.790674
1028,21.323856
1029,21.325193
1030,12.499157
1031,21.13281
1032,12.761371
1033,19.143415
1034,21.244623
1035,21.32519
1036,21.325218
1037,15.198682
1038,15.529888
1039,15.105948
1040,21.325163
1041,14.55882
1042,21.325247
1043,21.32224
1044,18.271067
1045,21.324835
1046,18.094862
1047,17.971785
1048,21.322294
1049,20.482985
1050,21.321655
1051,21.324133
1052,16.135805
1053,21.324219
1054,21.325136
1055,21.3252
1056,20.656609
1057,21.282547
1058,20.289854
1059,21.323645
1060,21.325262
1061,20.895092
1062,21.324648
1063,21.324444
1064,21.322844
1065,18.013226
1066,21.32513
1067,20.808836
1068,20.534845
1069,20.973764
1070,21.29827
1071,21.32078
1072,21.325247
1073,21.325228
1074,21.325186
1075,21.325254
1076,21.325247
1077,21.325262
